origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,   1,0,,,,,,,,   5,,,0,0,   1,,,,,,  1 194,,,,,,   5,,   4,,,,,,,   3,,   22,,   7,,,,,,   11,,   8,,   31,0,,,   111,,,,,,,,   6,,,,,   1,,,,,,,   202,   244,   543,   213,  1 415,   60,   64,   12,   991,,   16,,,,,,,,,,   18,,   935,,,  29 957,   34,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,  4 357,,,  16 115,,,   46,,,,,,,,   230,   192,,,  2 054,,  51 216,,  8 959,  2 351,,   63,   542,   491,  8 948,  96 599,,  2 984,   262,  24 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,   2,   7,   11,,,,   317,,,,   14,,,   1,,   6,,0,,   11,   17,   32,,,,,,   5,,   107,,,   7,,,,   30,,   44,   989,  11 476,   610,,,,   53,   174,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,0,,0,,,,,,,,,,,,   262,,,,   17,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,   1,0,,,,,,,,   9,,,0,   1,   11,,,,,,  61 457,,,,,,   2,,,,,,,,,,,   10,,   53,,,,,   9,,,   9,,   34,0,,,   11,,,,   9,,,,,,,,,   3,,,,,,,   5,,,,,,,,0,,   21,,,,,,,,,,,,  1 674,,,  7 972,   351,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  11 088,,,  16 805,,   2,,,,,,,,,,,,,,,,,,,,   1,0,,,,,,,,,   7,,,0,,   1,,,,   5,   7,   11,,,,,,   6,,   12,,,,,,,,,   14,   59,   240,,,,,   9,   58,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,   3,,,,,,,,,,   4,,,,,,,,,,,,0,,,,   25,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   108,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   1,   12,   14,   35,,,   392,,,,   60,,,   24,   6,   3,,,,   117,  1 845,   158,,,,0,,   9,,   94,,,   15,,,,  1 806,,   280,   247,  1 287,  1 634,,,,   216,  1 129,,,,,,,,,   128,,,   363,,,,,,,   109,,,,,,,,,   269,   73,   67,   112,  1 519,   47,   213,  147 234,,  15 996,  7 277,   634,   509,,,,   809,  4 094,,,  2 224,,  1 545,,,  31 303,   509,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   82,,,,,  2 761,,,   4,   53,,,,,,,,,,,,,,,,,,,   175,0,,,   330,,,,,,,,,,   13,,,,,,,,,,,,   907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   23,   66,,,,,,,,   147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   17,,,,   320,,,,,,,,  6 811,,,,   18,   355,   381,  4 625,,,   876,   47,,,  16 411,,,0,   9,   123,,   2,,   3,  40 488,  1 816,,,,  312 821,,   487,,  4 034,   25,,   13,,  42 141,  70 670,   643,  4 365,  92 349,  1 966,  8 357,  108 349,   297,  2 334,,   131,  41 166,,,,,,,,,,,,   6,,,,,,,,,,,,,,,,,,,,,,,,0,,   6,,,,,,,,,,   21,,  25 135,,,  55 354,  22 312,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,   80,   469,  2 945,,,,,,,,,,,,,,,,,,   103,   975,  18 470,   161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,   7,0,   1,,,,   194,,,,   34,,,   1,,   15,,,,   35,   38,  1 955,,,,,,   3,,   1,,,,,,,,,   15,   8,   182,,,,,   89,   19,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,,,,   77,,,,   153,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,   137,   390,,,,,,,   790,   979,,,,   77,,,   7,   248,,,,   143,,,,   536,,,,,,,,  12 090,,,   479,  56 445,,,,,,,,,   123,,,   152,,,   552,,,,,,,,,,,   15,,,  5 866,   101,,,,,,,,   83,,,   69,   8,   28,   68,   299,,   2,   577,   4,,,   765,,   6,   162,   11,   380,,   8,   75,   576,  2 747,  9 560,,,,   122,,  1 460,,  25 441,   27,,  23 722,   18,   5,   7,  13 454,,  2 857,   895,  20 435,  11 446,   36,   288,,  3 820,  13 295,,,,   36,,,,   22,,,,   950,,   35,,,   16,,   185,,   5,,,,,,,   346,   329,   77,   179,  1 682,   138,   633,  34 359,  10 558,,  4 332,  1 728,   968,,  6 204,   485,  111 355,  3 476,  2 100,  10 581,  4 323,,  7 028,,,  82 489,  2 926,   718,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   18,,,,   21,,,,,,,,,,,,,,,0,,,,,,   47,,,,,,   12,,,,,,,,,,,,,,,,,,,,,   66,,   5,,0,,,,,   31,   12,   8,,,,,,,   106,   2,,0,,,  2 665,,,,,,,,,,,,0,,,,,,,,,,,,   72,,,,   6,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   65,,,,,,,,,   23,,,,,,,,,,,,,,,,,,,,,   38,,,,,,,,,,,,,,  3 234,,   106,,,,,,,,  16 220,,,,,,,,,   1,,,,   11,,,,,,,,,,,,0,,,,,,,,,,   4,,,0,,   3,,,,   20,,   388,,,,,,,,0,,,,,,,   1,,   3,,   33,,,,,   273,   32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,0,,,,,,,,,,,,  4 246,,,,  1 620,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   71,,,,,,,,   45,  3 836,,,,,,,,,,,,,,,,,,,  4 142,,,,,,,,,,   2,,,,,,,,,,,,,,,,,,,,,,,,,  1 531,,,  19 353,   91,,,,,,,,  462 767,,,   30,,  1 154,  1 962,  2 414,   462,  24 353,  10 760,   362,  2 094,,   224,,,   274,   18,   178,,   390,   33,   369,  2 756,  1 670,,,,0,,  7 509,,   446,   77,,   183,,   139,   65,  1 084,  1 075,  8 666,   909,  9 404,  27 077,   18,   42,,   827,  2 439,,,,0,,,,,   296,,,   357,,,,,,,,,,,,,,,,   39,,,,   69,   88,   25,   975,   16,   409,   65,   68,   65,,,,,   48,,,   126,,  2 874,0,,  8 579,  1 755,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 158,,,   67,,,,,,,,   105,,,  1 240,,,  927 756,,  41 668,   479,,   388,  23 024,,  9 596,,,,   35,  6 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,   1,,,,,   525,,,,   2,,,0,0,   2,,,,   19,   26,   12,,,,,,   5,,   381,,,,,,,   96,,   67,   294,  3 831,   563,,,,   91,   206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   26,,,   1,,,,,,,,,,,,   38,,,,   30,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,   618,   19,   99,,   705,,,,,  26 238,,,,  50 561,  232 210,0,,,,,,,  20 203,,   52,,,   47,,,,,,,,   575,  2 092,   7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,   4,0,,,,,   171,,,,   23,,,   3,,   9,,   1,,0,   65,   281,,,,,,   44,,   101,,,,,,,   5,,   53,   382,  1 344,   233,,,,   222,   306,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,,,,,,,,,0,,   18,,,,,,,,,,,,   489,,,,   15,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,  3 144,,,,,,,,,,  3 569,,,,,,,,  4 250,,,,,,,,,,,,,,,,   274,,,   98,   355,,,,,,,,   5,   19,,,,,,,,,,,,,,,,,,,   12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,   3,,,,,   52,,,,   5,,,   2,   19,   1,,   1,,   163,   231,   45,,,,,,   32,,  6 799,,,  30 179,,,,  1 274,,   22,   128,  16 358,,,  1 148,,  7 912,  1 084,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,,,,,,,,   51,0,,   5,,,,,,,,,,,,   48,,,  14 368,   20,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 171,,   3,,,,  1 398,   747,,  7 528,,  73 756,,  21 150,,  12 924,,,,,,,,,,,0,,,,,,,,,,,,,,,,   6,   4,   65,   31,,,   227,,,,   50,,,   62,   1,   2,,0,,   107,   254,   97,,,,,,   8,,   41,,,,,,,   5,,   528,   164,  69 234,  1 666,,,,   261,  1 637,,,,,,,,,,,,   118,,,,,,,,,,,,,,,,   2,,,,,,,   46,0,,   2,,,,,,,,,,,,  17 233,,,  118 833,  20 651,  4 114,,   482,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,   10,,,,,  30 992,  3 464,,   202,  15 636,,,   135,,,,0,,,,   175,  2 303,,,,,,,   61,,,,   592,   350,   265,  10 242,,   837,,   334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   14,,,,,,,,,,,,,,,,   1,   1,   6,   14,,0,   738,,,,   31,,,   6,   1,   67,,   1,,   121,   84,   451,,,,,,   188,,   254,,,   16,,,0,   428,,   360,  1 592,  36 846,  2 178,,   58,,   431,  2 245,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   8,,,,   5,,,,   1,,   18,,   15,,,,,,,,,,   302,,,  3 161,   68,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,   36,,,,,,,,   101,   184,   227,,,,   19,,,,,   90,,,   331,   946,,,,,   112,,   279,  2 877,   4,,,,,,   147,   297,   37,   247,,   46,,,,,   38,   18,,,   77,,,  3 756,  8 414,,   149,  4 910,   26,   513,,   20,   286,,,,   628,   717,   917,,   26,,,   17,  6 474,,   12,,,   2,,,,   374,,,  4 777,   241,,,,,,,,   345,,,   85,   17,   121,   226,  2 207,,,   394,   40,,,  2 175,   29,   3,   960,   145,   371,   104,   42,   66,  2 126,  1 791,  63 555,  1 151,,,   473,,  14 677,,  10 188,  1 385,,  4 262,,   1,   274,  2 236,,  1 402,  1 526,  16 520,  9 241,,   229,,  6 485,  6 669,   28,   218,,   730,   668,   52,   120,   426,   135,,   67,  3 562,   85,   197,   628,  1 140,,   56,   231,,   107,   143,0,   963,   162,,   542,   810,   508,   272,   264,  3 100,   185,   140,   796,  1 765,   970,  1 051,   682,   806,,,   92,  1 418,   875,,   427,   981,  2 295,,   13,   205,  744 830,  27 452,  6 566,,,   358,,,,,,,,,,,,   114,,   16,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,   5,,,,,,   150,,,,,,   15,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,   2,,,,,,,   8,,,   68,,,,,,,   17,,,,,,,,,,,,   96,,,,   3,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,0,,,,,,,,  8 067,  10 616,,,,,,   51,,,  17 911,,,,,,   118,,,,,,,,,,,   283,,,,,,,   179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,,,,,,,,,,   1,   4,,,,   131,,,,   1,,,0,,   1,,   1,,,   8,   42,,,,,,   42,,   6,,,,,,   12,   13,,   16,   68,  8 492,,,,,   14,   120,,,,,,,,,,,,   6,,,,,,,,,,,,,,,,   5,,,,,,,,0,,   8,,,,,,,,,,,,   14,,,,   6,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,0,,,,,   12,  95 527,  10 010,,  3 239,,,  1 396,,,   305,   871,,  196 164,,,,,,,,   367,,,,,   8,,,,,   47,  1 443,  11 111,,,,   342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   140,,,,,   4,   870,,,  10 484,,,,,  1 063,,,   1,   2,   2,,,,   161,   8,,,   1,,,   1,,   2,,,,   7,   22,   25,,,,,,   18,,   17,,,,,,,   7,,   7,   94,  2 554,   265,,,,   28,   157,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,,,,,,,,,   6,,   4,,,,,,,,,,,,   106,,,,   15,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   182,,,,,  18 441,,,,,,   2,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,,,,,,,,,,,,   97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,,,,,   48,   650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,   12,,,  2 613,,,,,,,,,   10,,,,   3,   7,   112,   33,,0,   638,   2,,,  1 070,,,   166,   15,   27,,   1,,  5 496,  21 091,   717,,   68,,   122,,   783,,  8 674,,,   55,,,   7,  11 887,,   693,  1 178,  13 207,  6 888,,   56,,  2 655,  4 716,,,,   9,,,,,   393,,,  1 891,,,   333,,,,   924,,,,,,,,,  1 490,   380,   271,   273,  2 783,   144,   998,  223 528,  4 807,  22 243,,  1 859,  5 302,   43,,,  2 460,  5 138,,  1 161,  22 198,,  21 945,,,  55 681,  29 145,   826,,,,,,,,,,,,,,,,,,,,,
China,,,,   8,,,  1 481,,   346,,,,,   58,,,   142,,   100,,,,,,   283,,,   107,,,   479,  1 366,,  1 678,,,   874,   162,  4 593,  8 690,,,,   30,,,   121,   134,,,   301,   142,,,,,   280,   247,   695,   770,   74,,,, 1 659 157,  172 346,  19 668,  150 383,  1 649,  19 827,  1 509,   707,  258 310,  4 125,  91 377,  72 413,  53 792,  150 447,   58,   928,   612,,  140 163,   422,  18 165,,,  21 906,   490,   37,,,,   398,   421,,  1 027,   192,,   88,,,,,,   529,,,,   362,   303,   941,   922,,   605,  67 405,   49,  7 924,,  1 301,   59,   1,   428,   58,   563,,   24,   157,  1 862,  6 920,  23 384,,,,0,,   329,,  32 172,   148,,   673,,   216,   61,  8 432,,  9 703,  2 683,  41 681,  19 834,   28,  1 017,,  20 779,  8 082,,   57,   247,   67,0,   23,,,   658,,   14,  3 613,,,   348,,   68,,   339,,   21,,0,   469,,,   551,   252,   260,   307,   394,  1 240,   55,  10 235,  4 268,   805,  8 532,  1 124,  1 233,   654,,   961,   263,  1 953,  2 923,  2 055,,  6 458,   85,  168 079,0,,  773 939,  97 526,  9 059,   848,   77,   135,   241,,  1 719,,   40,,   504,  2 598,   320,   100,,   546,,   93,,   91,,
"China, Hong Kong Special Administrative Region",,,,,,,,,   91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 786,,,,,,,,,,,,,,,,,,,,,,,,  2 458,,  11 736,   97,,,,   382,   54,,,,,   196,  15 043,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,   14,,,,,   6,,,,,   38,,,,   492,,,,,   86,,,,   728,   440,  72 371,,,,,,   30,,,,,   27,,,,,,   154,,  2 227,,,,,,,,,,   46,,   58,,,,,,,,,,,,,,,,,,,,,   47,  1 504,   13,,,,,   187,   9,0,,   29,   32,   33,,,,,,,,   507,,  230 328,,,  147 131,  57 852,  4 839,,,,,,,,,   8,,,,,,,,,,,,
"China, Macao Special Administrative Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  12 256,  57 222,,,,,,,,,,,,,  11 755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,   17,,,,,,,,,,,,,   842,,,,,,   9,,   111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,   31,,,,,,,,,,,,  6 592,,,  5 107,  1 699,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   65,,,,,,,,,   118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   156,,,,,,,,,,,,,,,,,   31,,,  1 155,   15,,,,,,,,   11,,,,   1,   18,   33,   81,,,   336,   3,,,   807,,   22,   132,   21,,,   2,,  1 618,  5 749,  5 546,,,,0,,   442,,  9 633,,,   107,,,   2,  12 548,,   864,   564,  15 050,  4 218,0,   26,,  4 915,  5 057,,,  1 849,   28,,   787,,   73,   353,,,  4 697,,,   828,,,,  3 399,,,,0,,,,,  4 372,   386,   490,   409,  4 660,   298,  13 968,  2 702,   651,  2 223,  1 554,,  40 238,,,,,  4 247,,,  555 578,,  7 547,,,  286 124,  2 106,   235,,,,,,,,,,,,,,,,,,,,,
Comoros,,,,   27,,,  8 179,,,  10 288,,   441,,,,,,   343,,,,,,,,,,,,,   431,  1 230,,,,,,,,   194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,   17,,,,   18,,,   1,,0,,,,,,   7,,,,,,0,,   3,,,,,,,,,,,  18 859,,,,,,   15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,,,,,   19,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,,,,,,,,   735,,,,,,,,,,  15 007,   116,,   410,,,   715,,  3 647,,  5 037,,,   26,   74,  1 286,,,,,,  1 652,  1 302,   1,   537,,,,,,,,,  4 022,,,,,,,   123,,,,,,,,,,,,,,,,,,,   121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   10,   16,   18,   68,,,   492,   1,,,   31,,,   12,,   163,,   1,,   132,   125,   456,,,,,,   35,,   508,,,   532,,,,   93,,   252,   989,  48 395,   351,,,,   295,  3 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,   92,   1,,   2,,,,,,,,,,,,   87,,,,   134,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,   5,,,,,,,,,,,,,   4,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,   10,,,,  2 295,  15 136,   30,,,,,,,,,,,,,,,,   6,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,   13,,,,   1,   3,   8,   28,,,   35,,,,   42,,,   10,   3,   2,,0,,   130,   162,   50,,,,,,   26,,   92,,,,,,,   644,,   99,   60,   421,   516,,,,   207,   412,,,,   10,,,,   88,,,,  1 552,,,   274,   96,,,   487,,,,,,,,,,  1 558,   758,   594,  2 088,  5 959,  3 919,   462,   102,   388,   428,   691,   313,,,,,   240,,,  1 661,,  1 304,,,  43 530,   236,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,  1 048,,,   208,   594,,,   550,,,,   45,  1 115,,  7 735,  243 776,   9,,,  4 902,  2 472,,  2 182,  48 556,   175,  4 425,,,  2 322,   74,  1 590,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   3,0,,,,   113,,,,   70,,,   14,0,   26,,   1,,   71,   247,   388,,,,,,   117,,  1 324,,,   27,,,,   152,,   118,   330,  40 942,   737,,,,   177,   975,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,   139,,,   1,   4,,   12,,,,,,,,,,,,  1 670,,,  1 388,   34,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   124,,,,,,,,,   479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,   19,,,,,,,,   53,,,,   15,   417,   365,  1 142,,,   365,   95,,,   504,,   1,0,   6,   97,,   4,,   7,  4 108,  1 897,,,  21 218,,,   466,,  6 648,   18,,   27,,  35 548,  49 504,   218,  1 437,  43 774,   361,  10 463,  150 313,   111,   400,,   38,  21 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,   64,,   36,  2 171,0,,   211,   52,   27,,,,,   65,,,   363,,   862,,,  22 927,  48 565,   673,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,   20,,,,,,,,,,,   164,,,,,,,,,,,,,,  1 005,   317,,,,   69,,,,   61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   85,,,,,,,,,,,,,,   9,,,,,,,,,,,,   10,,,   22,   50,   123,   252,   261,,   1,  2 689,   23,,,   34,,,   22,   7,   16,,   21,,   44,  1 170,   150,,,,,,   194,,  1 444,,,   116,,   3,   2,  21 854,,   485,   144,  2 031,  2 734,,   23,,   313,  1 035,,   12,,   48,0,   621,,   234,,,   5,  6 824,,,  1 203,  1 746,,,  19 579,,   10,,0,   40,,,,  4 504,   84,   275,   464,  2 660,   896,  3 267,  1 427,   105,   442,   518,  1 296,   998,,,,,   646,,,  11 559,   11,  1 737,,,  736 971,   361,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  38 636,,,   10,   438,,,  2 367,,   4,,,,,,,,,,,,,,   134,0,,,,,,,,,,,   61,,   110,,,   83,,,,,,,,,,,,,,,   35,,,,,,,,,,,,,,,,,,,,,,
